ID,PDF_File,Category,Page,Product_Title,Price_Formatted,Raw_Price,Line_Text
FURN-00113,DINNING PRICELIST -AUG26 .pdf,dining,6,26,₹0,0,26000/-
FURN-00114,DINNING PRICELIST -AUG26 .pdf,dining,6,28,₹0,0,28000/-
FURN-00115,DINNING PRICELIST -AUG26 .pdf,dining,6,10,₹750,750,10750/-
FURN-00116,DINNING PRICELIST -AUG26 .pdf,dining,7,22,₹0,0,22000/-
FURN-00117,DINNING PRICELIST -AUG26 .pdf,dining,7,23,₹0,0,23000/-
FURN-00118,DINNING PRICELIST -AUG26 .pdf,dining,7,17,₹500,500,17500/-
FURN-00119,DINNING PRICELIST -AUG26 .pdf,dining,8,22,₹0,0,22000/-
FURN-00120,DINNING PRICELIST -AUG26 .pdf,dining,8,23,₹0,0,23000/-
FURN-00121,DINNING PRICELIST -AUG26 .pdf,dining,8,22,₹0,0,22000/-
FURN-00122,DINNING PRICELIST -AUG26 .pdf,dining,9,14,₹0,0,14000/-
FURN-00123,DINNING PRICELIST -AUG26 .pdf,dining,10,11,₹500,500,11500/-
FURN-00124,DINNING PRICELIST -AUG26 .pdf,dining,10,18,₹500,500,18500/-
FURN-00125,DINNING PRICELIST -AUG26 .pdf,dining,10,12,₹500,500,12500/-
FURN-00126,DINNING PRICELIST -AUG26 .pdf,dining,11,34,₹0,0,34000/-
FURN-00127,DINNING PRICELIST -AUG26 .pdf,dining,11,22,₹0,0,22000/-
FURN-00128,DINNING PRICELIST -AUG26 .pdf,dining,11,42,₹0,0,42000/-
FURN-00129,DINNING PRICELIST -AUG26 .pdf,dining,12,23,₹0,0,23000/-
FURN-00130,DINNING PRICELIST -AUG26 .pdf,dining,12,17,₹200,200,17200/-
FURN-00131,DINNING PRICELIST -AUG26 .pdf,dining,12,16,₹0,0,16000/-
FURN-00132,DINNING PRICELIST -AUG26 .pdf,dining,13,18,₹800,800,18800/-
FURN-00133,DINNING PRICELIST -AUG26 .pdf,dining,13,23,₹500,500,23500/-
FURN-00134,DINNING PRICELIST -AUG26 .pdf,dining,13,23,₹0,0,23000/-
FURN-00135,DINNING PRICELIST -AUG26 .pdf,dining,14,21,₹500,500,21500/-
FURN-00136,DINNING PRICELIST -AUG26 .pdf,dining,14,21,₹0,0,21000/-
FURN-00137,DINNING PRICELIST -AUG26 .pdf,dining,14,19,₹0,0,19000/-
FURN-00138,DINNING PRICELIST -AUG26 .pdf,dining,15,10,₹500,500,10500/-
FURN-00139,DINNING PRICELIST -AUG26 .pdf,dining,15,18,₹500,500,18500/-
FURN-00140,DINNING PRICELIST -AUG26 .pdf,dining,15,Wood,"₹22,500",22500,WOOD : 22500/- | METAL : 20000/-
FURN-00141,DINNING PRICELIST -AUG26 .pdf,dining,16,19,₹500,500,19500/-
FURN-00142,DINNING PRICELIST -AUG26 .pdf,dining,16,14,₹500,500,14500/-
FURN-00143,DINNING PRICELIST -AUG26 .pdf,dining,16,23,₹0,0,23000/-
FURN-00144,DINNING PRICELIST -AUG26 .pdf,dining,17,16,₹500,500,16500/-
FURN-00145,DINNING PRICELIST -AUG26 .pdf,dining,17,14,₹0,0,14000/-
FURN-00146,DINNING PRICELIST -AUG26 .pdf,dining,17,19,₹500,500,19500/-
