ID,Folder,PDF_File,Category,Page,Product_Title,Description,Price_Formatted,Raw_Price,Extraction_Method,Line_Text
FURN-00078,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,17,New Vogue,Refined Comfort.,"₹58,000",58000,ocr,"NEW VOGUE | Refined Comfort. | ₹58,000"
FURN-00079,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,18,Heritage,"Timeless elegance,crafted forheritage living.","₹65,000",65000,ocr,"HERITAGE | Timeless elegance,crafted forheritage living. | ₹65,000"
FURN-00080,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,19,Vine,ZURICH,"₹98,000",98000,ocr,"VINE | ZURICH | ₹98,000"
FURN-00081,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,20,Vine,Glamour,"₹65,000",65000,ocr,"VINE | Glamour | ₹65,000"
FURN-00082,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,21,Florance,Timeless Design.,"₹54,000",54000,ocr,"FLORANCE | Timeless Design. | ₹54,000"
FURN-00083,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,22,Vine,Imperial,"₹68,000",68000,ocr,"VINE | Imperial | ₹68,000"
FURN-00084,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,23,Tokyo,Timeless design.,"₹51,000",51000,ocr,"TOKYO | Timeless design. | ₹51,000"
FURN-00085,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,24,Saphire,Designed to inspire.,"₹54,500",54500,ocr,"SAPHIRE | Designed to inspire. | ₹54,500"
FURN-00086,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,25,Mapple,Modern comfort.,"₹55,500",55500,ocr,"Mapple | Modern comfort. | ₹55,500"
FURN-00087,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,26,California,DIV.INE,"₹52,000",52000,ocr,"California | DIV.INE | ₹52,000"
FURN-00088,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,27,Oxy,Sophisticated Comfort.,"₹58,000",58000,ocr,"OXY | Sophisticated Comfort. | ₹58,000"
FURN-00089,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,28,Divin,CORBUSIER,"₹63,000",63000,ocr,"DIVIN | CORBUSIER | ₹63,000"
FURN-00090,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,29,Sofa,DREAM,"₹58,000",58000,ocr,"SOFA | DREAM | ₹58,000"
FURN-00091,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,30,Divin,JUNE,"₹53,000",53000,ocr,"DIVIN | JUNE | ₹53,000"
FURN-00092,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,31,Kitkat,KITKAT,"₹52,000",52000,ocr,"KitKat | KITKAT | ₹52,000"
FURN-00093,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,32,Barcelona,Bold design.,"₹74,000",74000,ocr,"BARCELONA | Bold design. | ₹74,000"
FURN-00094,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,33,Futon,Simple comfort.Modern living.,"₹45,500",45500,ocr,"FUTON | Simple comfort.Modern living. | ₹45,500"
FURN-00095,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,34,Havoc,Bold by design.,"₹45,500",45500,ocr,"HAVOC | Bold by design. | ₹45,500"
FURN-00096,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,35,Aero,Elevate your space.,"₹42,000",42000,ocr,"AERO | Elevate your space. | ₹42,000"
FURN-00097,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,36,Crystal,Sophisticated Comfort.,"₹65,000",65000,ocr,"CRYSTAL | Sophisticated Comfort. | ₹65,000"
FURN-00098,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,37,Nero,Bold by design.,"₹58,000",58000,ocr,"NERO | Bold by design. | ₹58,000"
FURN-00099,A -DIVINE CHAIRS PRICELIST,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,38,Benz,Modern design.,"₹56,000",56000,ocr,"BENZ | Modern design. | ₹56,000"
FURN-00100,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,1,26,,₹0,0,text_regex,26000/-
FURN-00101,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,2,31,,₹0,0,text_regex,31000/-
FURN-00102,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,2,28,,₹750,750,text_regex,28750/-
FURN-00103,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,2,32,,₹0,0,text_regex,32000/-
FURN-00104,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,3,17,,₹0,0,text_regex,17000/-
FURN-00105,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,3,21,,₹500,500,text_regex,21500/-
FURN-00106,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,3,21,,₹0,0,text_regex,21000/-
FURN-00107,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,4,22,,₹0,0,text_regex,22000/-
FURN-00108,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,4,26,,₹0,0,text_regex,26000/-
FURN-00109,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,4,42,,₹0,0,text_regex,42000/-
FURN-00110,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,5,17,,₹0,0,text_regex,17000/-
FURN-00111,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,5,26,,₹0,0,text_regex,26000/-
FURN-00112,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,5,22,,₹0,0,text_regex,22000/-
FURN-00113,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,6,26,,₹0,0,text_regex,26000/-
FURN-00114,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,6,28,,₹0,0,text_regex,28000/-
FURN-00115,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,6,10,,₹750,750,text_regex,10750/-
FURN-00116,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,7,22,,₹0,0,text_regex,22000/-
FURN-00117,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,7,23,,₹0,0,text_regex,23000/-
FURN-00118,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,7,17,,₹500,500,text_regex,17500/-
FURN-00119,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,8,22,,₹0,0,text_regex,22000/-
FURN-00120,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,8,23,,₹0,0,text_regex,23000/-
FURN-00121,A -DIVINE CHAIRS PRICELIST,DINNING PRICELIST -AUG26 .pdf,dining,8,22,,₹0,0,text_regex,22000/-
